"id","zip_code","name_th","name_en","amphure_id"
100101,10200,"พระบรมมหาราชวัง","Phra Borom Maha Ratchawang",1
100102,10200,"วังบูรพาภิรมย์","Wang Burapha Phirom",1
100103,10200,"วัดราชบพิธ","Wat Ratchabophit",1
100104,10200,"สำราญราษฎร์","Samran Rat",1
100105,10200,"ศาลเจ้าพ่อเสือ","San Chao Pho Suea",1
100106,10200,"เสาชิงช้า","Sao Chingcha",1
100107,10200,"บวรนิเวศ","Bowon Niwet",1
100108,10200,"ตลาดยอด","Talat Yot",1
100109,10200,"ชนะสงคราม","Chana Songkhram",1
100110,10200,"บ้านพานถม","Ban Phan Thom",1
100111,10200,"บางขุนพรหม","Bang Khun Phrom",1
100112,10200,"วัดสามพระยา","Wat Sam Phraya",1
100201,10300,"ดุสิต","Dusit",2
100202,10300,"วชิรพยาบาล","Wachiraphayaban",2
100203,10300,"สวนจิตรลดา","Suan Chit Lada",2
100204,10300,"สี่แยกมหานาค","Si Yaek Maha Nak",2
100205,0,"*บางซื่อ","*Bang Sue",2
100206,10300,"ถนนนครไชยศรี","Thanon Nakhon Chai Si",2
100299,0,"*สามเสนใน","*Sam Sen Nai",2
100301,10530,"กระทุ่มราย","Krathum Rai",3
100302,10530,"หนองจอก","Nong Chok",3
100303,10530,"คลองสิบ","Khlong Sip",3
100304,10530,"คลองสิบสอง","Khlong Sip Song",3
100305,10530,"โคกแฝด","Khok Faet",3
100306,10530,"คู้ฝั่งเหนือ","Khu Fang Nuea",3
100307,10530,"ลำผักชี","Lam Phak Chi",3
100308,10530,"ลำต้อยติ่ง","Lam Toiting",3
100401,10500,"มหาพฤฒาราม","Maha Phruettharam",4
100402,10500,"สีลม","Si Lom",4
100403,10500,"สุริยวงศ์","Suriyawong",4
100404,10500,"บางรัก","Bang Rak",4
100405,10500,"สี่พระยา","Si Phraya",4
100501,0,"*ลาดยาว","*Lad Yao",5
100502,10220,"อนุสาวรีย์","Anusawari",5
100503,0,"คลองถนน*","Khlong Thanon*",5
100504,0,"*ตลาดบางเขน","*Talad Bang Khen",5
100505,0,"*สีกัน","*See Kan",5
100506,0,"สายไหม*","Sai Mai*",5
100507,0,"*ทุ่งสองห้อง","*Thung Song Hong",5
100508,10220,"ท่าแร้ง","Tha Raeng",5
100509,0,"ออเงิน*","Or Ngern*",5
100599,0,"*บางเขน","*Bang Khen",5
100601,10240,"คลองจั่น","Khlong Chan",6
100602,0,"วังทองหลาง*","Wang Thong Lang*",6
100603,0,"*ลาดพร้าว","*Lad Prao",6
100604,0,"*คลองกุ่ม","*Klong Khum",6
100605,0,"*สะพานสูง","*Saphan Sung",6
100606,0,"*คันนายาว","*Khan Na Yao",6
100607,0,"*จรเข้บัว","*Chorakhe Bua",6
100608,10240,"หัวหมาก","Hua Mak",6
100701,10330,"รองเมือง","Rong Mueang",7
100702,10330,"วังใหม่","Wang Mai",7
100703,10330,"ปทุมวัน","Pathum Wan",7
100704,10330,"ลุมพินี","Lumphini",7
100801,10100,"ป้อมปราบ","Pom Prap",8
100802,10100,"วัดเทพศิรินทร์","Wat Thep Sirin",8
100803,10100,"คลองมหานาค","Khlong Maha Nak",8
100804,10100,"บ้านบาตร","Ban Bat",8
100805,10100,"วัดโสมนัส","Wat Sommanat",8
100899,0,"*นางเลิ้ง","*Nang Lerng",8
100901,0,"*คลองเตย","*Khlong Toei",9
100902,0,"*คลองตัน","*Khlong Ton",9
100903,0,"*พระโขนง","*Phra Kha Nong",9
100904,0,"บางนา*","Ban Na*",9
100905,10260,"บางจาก","Bang Chak",9
100906,0,"*สวนหลวง","*Suan Luang",9
100907,0,"*หนองบอน","*Nong Bon",9
100908,0,"*ประเวศ","*Prawet",9
100909,0,"*ดอกไม้","*Dok Mai",9
100997,0,"*พระโขนง","*Phra Kha Nong",9
100998,0,"*คลองตัน","*Khlong Ton",9
100999,0,"*คลองเตย","*Khlong Toei",9
101001,10510,"มีนบุรี","Min Buri",10
101002,10510,"แสนแสบ","Saen Saep",10
101003,0,"บางชัน*","Bang Chan*",10
101004,0,"ทรายกองดิน*","Sai Kong Din*",10
101005,0,"ทรายกองดินใต้*","Sai Kong Din Tai*",10
101006,0,"สามวาตะวันออก*","Sam Wa Ta Wan Ook*",10
101007,0,"สามวาตะวันตก*","Sam Wa Ta Wan Tok*",10
101101,10520,"ลาดกระบัง","Lat Krabang",11
101102,10520,"คลองสองต้นนุ่น","Khlong Song Ton Nun",11
101103,10520,"คลองสามประเวศ","Khlong Sam Prawet",11
101104,10520,"ลำปลาทิว","Lam Pla Thio",11
101105,10520,"ทับยาว","Thap Yao",11
101106,10520,"ขุมทอง","Khum Thong",11
101201,0,"*ทุ่งวัดดอน","*Thung Wat Don",12
101202,0,"*ยานนาวา","*Yan Nawa",12
101203,10120,"ช่องนนทรี","Chong Nonsi",12
101204,10120,"บางโพงพาง","Bang Phongphang",12
101205,0,"*วัดพระยาไกร","*Pra Ya Krai",12
101206,0,"*บางโคล่","*Bang Khlo",12
101207,0,"*บางคอแหลม","*Bang Kho Laem",12
101208,0,"*ทุ่งมหาเมฆ","*Tung Ma Ha Mek",12
101298,0,"*บางโคล่","*Bang Khlo",12
101299,0,"*บางคอแหลม","*Bang Kho Laem",12
101301,10100,"จักรวรรดิ","Chakkrawat",13
101302,10100,"สัมพันธวงศ์","Samphanthawong",13
101303,10100,"ตลาดน้อย","Talat Noi",13
101401,10400,"สามเสนใน","Samsen Nai",14
101402,0,"*ถนนเพชรบุรี","*Thanon Phetchaburi",14
101403,0,"*ทุ่งพญาไท","*Thung Phaya Thai",14
101404,0,"*มักกะสัน","*Makkasan",14
101405,0,"*ถนนพญาไท","*Thanon Phaya Thai",14
101499,0,"*ทุ่งพญาไท","*Thung Phaya Thai",14
101501,10600,"วัดกัลยาณ์","Wat Kanlaya",15
101502,10600,"หิรัญรูจี","Hiran Ruchi",15
101503,10600,"บางยี่เรือ","Bang Yi Ruea",15
101504,10600,"บุคคโล","Bukkhalo",15
101505,10600,"ตลาดพลู","Talat Phlu",15
101506,10600,"ดาวคะนอง","Dao Khanong",15
101507,10600,"สำเหร่","Samre",15
101599,0,"*คลองสาน","*Klong Sarn",15
101601,10600,"วัดอรุณ","Wat Arun",16
101602,10600,"วัดท่าพระ","Wat Tha Phra",16
101701,10310,"ห้วยขวาง","Huai Khwang",17
101702,10310,"บางกะปิ","Bang Kapi",17
101703,0,"*ดินแดง","*Din Dang",17
101704,10310,"สามเสนนอก","Samsen Nok",17
101801,10600,"สมเด็จเจ้าพระยา","Somdet Chao Phraya",18
101802,10600,"คลองสาน","Khlong San",18
101803,10600,"บางลำภูล่าง","Bang Lamphu Lang",18
